ID,Building Name,Project Type,Floor Name,Floor Sort Order,Floor Usf,Last Opening,Next Opening,Bim Lead Name,Last Harvest By,Current Deal Status,Current Deal Stage,Current Project Status,Building UUID,Floor UUID,Total Desks,Room Count
1,Exchange Square 2,Standard New,13th Floor,12,"6,571",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,6164bfe4-889b-11e8-9d13-0642b0acf810,143,18
2,Exchange Square 2,Standard New,14th Floor,13,"11,228",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,617323f4-889b-11e8-9d13-0642b0acf810,265,19
3,Exchange Square 2,Standard New,15th Floor,14,"11,228",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,61813628-889b-11e8-9d13-0642b0acf810,265,20
4,Exchange Square 2,Standard New,16th Floor,15,"11,228",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,618ec87b-889b-11e8-9d13-0642b0acf810,265,20
5,Exchange Square 2,Standard New,17th Floor,16,"13,511",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,619c666d-889b-11e8-9d13-0642b0acf810,258,50
6,Exchange Square 2,Standard New,18th Floor,17,"13,511",10/14/19,,Lee Zhang,lwang,Active,A,Active,b7a20d88-889a-11e8-9d13-0642b0acf810,86232f14-889b-11e8-9d13-0642b0acf810,274,51
7,Octa Tower,Standard New,20th Floor,20,"18,710",12/1/19,,Clio Guo,yli,Active,A,On Hold,06549e87-eeef-11e8-b223-0626947414d8,1c163375-eeef-11e8-b223-0626947414d8,370,66
8,Octa Tower,Standard New,21st Floor,21,"18,710",12/1/19,,Clio Guo,yli,Active,A,On Hold,06549e87-eeef-11e8-b223-0626947414d8,189842ca-eeef-11e8-b223-0626947414d8,446,26
9,Xinmei Union Square,Standard New,25th Floor,"95,950","9,510",10/30/19,,Bangyuan Xia,lzhang3,Active,A,Active,ff3f2a6e-52c4-11e8-9d13-0642b0acf810,4276ccb8-8782-11e8-9d13-0642b0acf810,202,12
10,Sun Life Tower,Standard New,26 Th Floor,25,"21,470",11/28/19,,Clio Guo,lzhang3,Active,A,Active,af57c266-8e3d-11e8-9d13-0642b0acf810,d665556c-8e4b-11e8-9d13-0642b0acf810,444,58
11,535 Jaffe,Standard New,26th Floor,,,10/30/19,,Clio Guo,,Active,A,Active,deb7d99c-0e12-11e6-9312-063c4950d72f,569a2469-aa41-11e7-9d13-0642b0acf810,0,0
12,Xinmei Union Square,Standard New,26th Floor,"99,750","9,510",10/30/19,,Bangyuan Xia,lzhang3,Active,A,Active,ff3f2a6e-52c4-11e8-9d13-0642b0acf810,42849732-8782-11e8-9d13-0642b0acf810,202,12
13,Sun Life Tower,Standard New,27 Th Floor,26,"21,470",11/28/19,,Clio Guo,ecao,Active,A,Active,af57c266-8e3d-11e8-9d13-0642b0acf810,d6863776-8e4b-11e8-9d13-0642b0acf810,444,59
14,535 Jaffe,Standard New,27th Floor,,,10/30/19,,Clio Guo,,Active,A,Active,deb7d99c-0e12-11e6-9312-063c4950d72f,5b49a7bb-126d-11e9-b223-0626947414d8,0,0
