Project,WWSKU,Project Quantity,PO Status,Sheet Name,Furniture Type
WE-CN-56293 - Yuexiu Financial Building,WW-CH-UNS-28547-C,20,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-MAD-11383-G,10,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-GDO-16463-J,10,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-MTB-LDF-8767-B,2,Order Cancelled,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TAB-LDF-29976-A,2,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TAT-LDF-8770-B,2,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CAB-COC-21111-C,1,Requires Respec,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-GDO-16463-N,18,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-29008-A,9,Order Cancelled,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-COC-10076-D,9,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-GDO-16463-J,5,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-MTB-LDF-8767-B,1,Order Cancelled,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TAB-LDF-29976-A,1,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TA-MAD-8415-B,1,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TAT-LDF-8770-B,1,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-CH-GDO-16463-J,4,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-MTB-LDF-8767-B,1,Order Cancelled,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
WE-CN-56293 - Yuexiu Financial Building,WW-TAB-LDF-29976-A,1,PO Issued,09.2_SCHEDULE_FURNITURE_PHASE,Non-Phoenix
